"Exception.Message","Exception.InnerException.Message","Exception.Message.Provider","FullyQualifiedErrorId"
"Could not retrieve information about the Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-LanguageProfile provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-LanguageProfile","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-USB-CCID provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-USB-CCID","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-EnrollmentPolicyWebService provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-EnrollmentPolicyWebService","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-StickyNotes provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-StickyNotes","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-WS-Licensing provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-WS-Licensing","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-Bluetooth-BthLEEnum provider. Error: The specified resource type cannot be found in the image file..","The specified resource type cannot be found in the image file.","Microsoft-Windows-Bluetooth-BthLEEnum","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-Ntfs-SQM provider. Error: The data is invalid..","The data is invalid.","Microsoft-Windows-Ntfs-SQM","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-DirectWrite-FontCache provider. Error: The specified resource type cannot be found in the image file..","The specified resource type cannot be found in the image file.","Microsoft-Windows-DirectWrite-FontCache","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-Globalization-FontGroups provider. Error: The specified resource type cannot be found in the image file..","The specified resource type cannot be found in the image file.","Microsoft-Windows-Globalization-FontGroups","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
