Id,Metadata.Keywords,Metadata.Description,Metadata.Level,Metadata.Level.Value,Metadata.Task,Metadata.Opcode,Paths.Name,Paths.Providers.Name,Reference.microsoft,Reference.microsoft.FileList,Reference.microsoft.QueryIDList,Reference.microsoft.SelectCount,Reference.microsoft.SuppressCount,Reference.nsacyber,Reference.nsacyber.FileList,Reference.nsacyber.QueryIDList,Reference.nsacyber.SelectCount,Reference.nsacyber.SuppressCount,Reference.palantir,Reference.palantir.FileList,Reference.palantir.QueryIDList,Reference.palantir.SelectCount,Reference.palantir.SuppressCount
1116,,,,,,,System,Microsoft Antimalware,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,0,1,0,False,,,0,0,False,,,0,0
1117,,,,,,,System,Microsoft Antimalware,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,0,1,0,False,,,0,0,False,,,0,0
1118,,,,,,,System,Microsoft Antimalware,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,0,1,0,False,,,0,0,False,,,0,0
1119,,,,,,,System,Microsoft Antimalware,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,0,1,0,False,,,0,0,False,,,0,0
142,ForcedIdleProcessing; Response Time,,,,,,System,Microsoft-Windows-TaskScheduler,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,3,1,0,False,,,0,0,False,,,0,0
1001,ForcedIdleProcessing; Response Time,,,,,,System,Microsoft-Windows-TaskScheduler,False,,,0,0,False,,,0,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5,1,0
12,BootPerformance,The operating system started at system time %7.,Information,4,SystemStart,Info,System,Microsoft-Windows-Kernel-General,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,4,1,0,False,,,0,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,0,1,0
13,BootPerformance,The operating system is shutting down at system time %1.,Information,4,SystemStop,Info,System,Microsoft-Windows-Kernel-General,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,4,1,0,False,,,0,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,0,1,0
1001,Time; KERNEL_GENERAL_SECURITY_ACCESSCHECK; KERNEL_GENERAL_TOKEN_SID_MANAGEMENT; BootPerformance,,,,,,System,Microsoft-Windows-Kernel-General,False,,,0,0,False,,,0,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5,1,0
7045,Classic,,,,,,System,Service Control Manager,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,5,1,0,True,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/ServiceManager.xml,0,1,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Services.xml,0,1,0
7034,Classic,,,,,,System,Service Control Manager,False,,,0,0,True,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/ServiceManager.xml,0,1,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Services.xml,0,1,0
1001,Classic,,,,,,System,Service Control Manager,False,,,0,0,False,,,0,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5,1,0
1074,,,,,,,System,USER32,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,9,1,0,False,,,0,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,1,1,0
27,Service configuration; Service availability,The event logging service encountered an error (res=%1) while opening log file for channel %2 at %3. Trying again using default log file path %4.,Warning,3,Service startup,,System,Microsoft-Windows-Eventlog,True,./microsoft/Appendix E - Annotated baseline subscription event query.xml,13,1,0,False,,,0,0,True,./palantir/windows-event-forwarding/wef-subscriptions/Event-Log-Diagnostics.xml,0,1,0
