Type,XPath,Paths.Name,Paths.Providers.Name,Paths.Providers.Events.Id,Paths.Providers.Events.References.File,Paths.Providers.Events.References.QueryList.Id
Select,*[System[Provider[@Name='Microsoft Antimalware'] and (EventID >= 1116 and EventID <= 1119)]],System,Microsoft Antimalware,1119,./microsoft/Appendix E - Annotated baseline subscription event query.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-TaskScheduler'] and (EventID=106 or EventID=141 or EventID=142 )]],System,Microsoft-Windows-TaskScheduler,142,./microsoft/Appendix E - Annotated baseline subscription event query.xml,3
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-TaskScheduler,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='Microsoft-Windows-Kernel-General'] and (EventID=12 or EventID=13)]],System,Microsoft-Windows-Kernel-General,12,./microsoft/Appendix E - Annotated baseline subscription event query.xml,4
Select,*[System[Provider[@Name='Microsoft-Windows-Kernel-General'] and (EventID=12 or EventID=13)]],System,Microsoft-Windows-Kernel-General,12,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-Kernel-General'] and (EventID=12 or EventID=13)]],System,Microsoft-Windows-Kernel-General,13,./microsoft/Appendix E - Annotated baseline subscription event query.xml,4
Select,*[System[Provider[@Name='Microsoft-Windows-Kernel-General'] and (EventID=12 or EventID=13)]],System,Microsoft-Windows-Kernel-General,13,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,0
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-Kernel-General,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='Service Control Manager'] and (EventID = 7000 or EventID=7045)]],System,Service Control Manager,7045,./microsoft/Appendix E - Annotated baseline subscription event query.xml,5
Select,*[System[Provider[@Name='Service Control Manager'] and Level=4 and EventID=7045]],System,Service Control Manager,7045,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/ServiceManager.xml,0
Select,*[System[Provider[@Name='Service Control Manager'] and (Level=1 or Level=2 or Level=3 or Level=4 or Level=0) and (EventID=7045 or EventID=7040)]],System,Service Control Manager,7045,./palantir/windows-event-forwarding/wef-subscriptions/Services.xml,0
Select,*[System[Provider[@Name='Service Control Manager'] and (Level=1  or Level=2 or Level=3 or Level=4 or Level=0) and (EventID=7022 or EventID=7023 or EventID=7024 or EventID=7026 or EventID=7031 or EventID=7032 or EventID=7034)]],System,Service Control Manager,7034,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/ServiceManager.xml,0
Select,*[System[Provider[@Name='Service Control Manager'] and (Level=1 or Level=2 or Level=3 or Level=4 or Level=0) and (EventID=7022 or EventID=7023 or EventID=7024 or EventID=7026 or EventID=7031 or EventID=7032 or EventID=7034)]],System,Service Control Manager,7034,./palantir/windows-event-forwarding/wef-subscriptions/Services.xml,0
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Service Control Manager,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='USER32'] and (EventID=1074)]],System,USER32,1074,./microsoft/Appendix E - Annotated baseline subscription event query.xml,9
Select,*[System[Provider[@Name='USER32'] and (EventID=1074)]],System,USER32,1074,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,1
Select,*[System[Provider[@Name='Microsoft-Windows-Eventlog']]],System,Microsoft-Windows-Eventlog,27,./microsoft/Appendix E - Annotated baseline subscription event query.xml,13
Select,*[System[Provider[@Name='Microsoft-Windows-Eventlog']]],System,Microsoft-Windows-Eventlog,27,./palantir/windows-event-forwarding/wef-subscriptions/Event-Log-Diagnostics.xml,0
Select,*[System[(EventID=104)]],System,Microsoft-Windows-Eventlog,104,./microsoft/Appendix E - Annotated baseline subscription event query.xml,17
Select,*[System[Provider[@Name='Microsoft-Windows-Eventlog'] and Level=4 and EventID=104]],System,Microsoft-Windows-Eventlog,104,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/LogDel.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-Eventlog'] and Level=4 and EventID=104]],System,Microsoft-Windows-Eventlog,104,./palantir/windows-event-forwarding/wef-subscriptions/Log-Deletion-System.xml,0
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-Eventlog,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=104)]],System,WudfUsbccidDriver,104,./microsoft/Appendix E - Annotated baseline subscription event query.xml,17
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,WudfUsbccidDriver,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='RemoteAccess'] and (EventID=20274 or EventID=20250 or EventID=20275)]],System,RemoteAccess,20250,./microsoft/Appendix F - Annotated Suspect Subscription Event Query.xml,1
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,RemoteAccess,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='Microsoft-Windows-Kernel-PnP'] and Level=3 and EventID=219]],System,Microsoft-Windows-Kernel-PnP,219,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/KernelDriverDetect.xml,2
Select,*[System[Provider[@Name='Microsoft-Windows-Kernel-PnP'] and Level=3 and EventID=219]],System,Microsoft-Windows-Kernel-PnP,219,./palantir/windows-event-forwarding/wef-subscriptions/Drivers.xml,0
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-Kernel-PnP,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='Microsoft-Windows-WER-SystemErrorReporting'] and Level=2 and EventID=1001]],System,Microsoft-Windows-WER-SystemErrorReporting,1001,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/BsodErr.xml,0
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-WER-SystemErrorReporting,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='Microsoft-Windows-GroupPolicy'] and Level=2 and (EventID=1125 or EventID=1127 or EventID=1129)]],System,Microsoft-Windows-GroupPolicy,1129,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/GrpPolicyErr.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-GroupPolicy'] and Level=2 and (EventID=1085 or EventID=1125 or EventID=1127 or EventID=1129)]],System,Microsoft-Windows-GroupPolicy,1129,./palantir/windows-event-forwarding/wef-subscriptions/Group-Policy-Errors.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-GroupPolicy'] and Level=2 and (EventID=1125 or EventID=1127 or EventID=1129)]],System,Microsoft-Windows-GroupPolicy,1125,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/GrpPolicyErr.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-GroupPolicy'] and Level=2 and (EventID=1085 or EventID=1125 or EventID=1127 or EventID=1129)]],System,Microsoft-Windows-GroupPolicy,1125,./palantir/windows-event-forwarding/wef-subscriptions/Group-Policy-Errors.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-GroupPolicy'] and Level=2 and (EventID=1125 or EventID=1127 or EventID=1129)]],System,Microsoft-Windows-GroupPolicy,1127,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/GrpPolicyErr.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-GroupPolicy'] and Level=2 and (EventID=1085 or EventID=1125 or EventID=1127 or EventID=1129)]],System,Microsoft-Windows-GroupPolicy,1127,./palantir/windows-event-forwarding/wef-subscriptions/Group-Policy-Errors.xml,0
Select,*[System[Provider[@Name='Microsoft-Windows-GroupPolicy'] and Level=2 and (EventID=1085 or EventID=1125 or EventID=1127 or EventID=1129)]],System,Microsoft-Windows-GroupPolicy,1085,./palantir/windows-event-forwarding/wef-subscriptions/Group-Policy-Errors.xml,0
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-GroupPolicy,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='Microsoft-Windows-WindowsUpdateClient'] and EventID=19]],System,Microsoft-Windows-WindowsUpdateClient,19,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/MsiPackages.xml,1
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-WindowsUpdateClient,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[Provider[@Name='Microsoft-Windows-FilterManager'] and EventID=6 and (Level=4 or Level=0)]],System,Microsoft-Windows-FilterManager,6,./nsacyber/Event-Forwarding-Guidance/Subscriptions/NT6/MsiPackages.xml,1
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-FilterManager,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=16962 or EventID=16965 or EventID=16968 or EventID=16969)]],System,Microsoft-Windows-Directory-Services-SAM,16968,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,3
Select,*[System[(EventID=16962 or EventID=16965 or EventID=16968 or EventID=16969)]],System,Microsoft-Windows-Directory-Services-SAM,16969,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,3
Select,*[System[(EventID=16962 or EventID=16965 or EventID=16968 or EventID=16969)]],System,Microsoft-Windows-Directory-Services-SAM,16962,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,3
Select,*[System[(EventID=16962 or EventID=16965 or EventID=16968 or EventID=16969)]],System,Microsoft-Windows-Directory-Services-SAM,16965,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,3
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Microsoft-Windows-Directory-Services-SAM,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,WUDFRd,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Workstation,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,WMIxWDM,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,wmbclass,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,WinNat,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Windows Script Host,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Windows Disk Diagnostic,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Win32k,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,wecsvc,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,wdf01000,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,WacomPen,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,vwifimp,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,VSTXRAID,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,vsmraid,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,vpci,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,volmgr,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,vnvdimm,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Virtual Disk Service,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,viostor,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,vioscsi,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,VDS Virtual Disk Provider,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,VDS Dynamic Provider,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,VDS Basic Provider,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,usb_rndisx,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,usbvideo,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,usbser,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,usbehci,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,usbaudio2,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,uliagpkx,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,UEFI,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,UASPStor,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,uagp35,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,tunnel,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,TCPMon,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Tcpip6,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Tcpip,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,System,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Synaptics FPR,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,stornvme,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,storahci,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,StillImage,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,stexstor,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Srv,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,spbcx,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,spaceport,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,SNMPTRAP,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,SMSvcHost 4.0.0.0,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,SMSvcHost 3.0.0.0,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,SmartSAMD,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,SiSRaid4,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,SiSRaid2,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Server,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,sermouse,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Serial,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,sercx2,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,sercx,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,scmdisk0101,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,scmbus,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,sbp2port,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,RtlWlanu_OldIC,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,RTL8023x64,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,rspndr,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,rhproxy,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,RFCOMM,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,rdbss,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Rasman,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,RasCfg,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,RasAuto,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,QxlDod,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Processor,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,PptpMiniport,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Power,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,PNPMEM,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,pmem,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,percsas3i,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,percsas2i,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,pcmcia,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,partmgr,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,Parport,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,nv_agp,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
Select,*[System[(EventID=41 or EventID=1001 or EventID=6008 or EventID=4621)]],System,nvstor,1001,./palantir/windows-event-forwarding/wef-subscriptions/Operating-System.xml,5
